split,pipeline,CandidateRecall@50,CandidateRecall@100,CandidateRecall@200
test,SparseLexical,0.1082934780661687,0.1418166836835223,0.1778619664320131
valid,SparseLexical,0.123649685150023,0.1596258988689716,0.197422199337045
